"state_code","elasticity","std_error","p_value","ci_lower","ci_upper","r_squared","n_obs","significant","status","emission_type","decoupling_status","decoupling_category"
"AK",0.786424012797961,0.0452357141321856,2.3218626748425e-06,0.697762013098877,0.875086012497044,0.55019283909399,8,TRUE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"AL",-2.03132747706839,0.400636170840873,0.00228741036508234,-2.8165743719165,-1.24608058222028,0.688427130469873,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"AR",-0.973881677252047,0.457901983509746,0.0775477298696639,-1.87136956493115,-0.0763937895729453,0.1835406561218,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"AZ",-1.43761126125966,0.288210948131557,0.00248171217207958,-2.00250471959751,-0.872717802921806,0.722796461685405,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"CA",-0.156271105578912,0.03317439857081,0.0032898649754628,-0.221292926777699,-0.0912492843801242,0.792126635045189,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"CO",-0.732397313204094,0.104789207918307,0.000427030823975527,-0.937784160723975,-0.527010465684213,0.88400459837641,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"CT",0.924722908642469,0.533134831855933,0.133521601674856,-0.120221361795159,1.9696671790801,0.171930348368121,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"DE",0.469368267681373,0.420085483976048,0.306592036227154,-0.35399928091168,1.29273581627443,0.119237213691811,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"FL",-0.514988103098785,0.159084540069265,0.017749239686483,-0.826793801634546,-0.203182404563025,0.694295083341851,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"GA",-0.637145222903694,0.206472746579102,0.0215014076383257,-1.04183180619873,-0.232458639608653,0.658396395935286,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"HI",-0.000508823724267218,0.076840812093596,0.99493129109573,-0.151116815427715,0.150099167979181,5.39315738685701e-06,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"IA",-0.575645574886312,0.272489237613687,0.0790941831958275,-1.10972448060914,-0.041566669163485,0.171122977124447,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"ID",0.0452574516064647,0.110378290772814,0.696028309951466,-0.17108399830825,0.26159890152118,0.0161578755442978,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"IL",-1.09672892715041,0.318562375222539,0.0137546202222936,-1.72111118258659,-0.472346671714236,0.541419918790871,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"IN",-1.63969537851793,0.433165859909066,0.00912268097014217,-2.48870046393969,-0.790690293096156,0.528093967996412,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"KS",-0.920450169945548,0.260580618851563,0.0123332455865844,-1.43118818289461,-0.409712156996483,0.706362015365746,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"KY",-4.54751647668768,0.551826795944235,0.000172525800946455,-5.62909699673838,-3.46593595663698,0.81108866093123,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"LA",0.835475088746749,0.241669319476172,0.0135151051781389,0.361803222573453,1.30914695492005,0.423214653921747,8,TRUE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"MA",-0.46885781760197,0.0792362828579363,0.00103734940900494,-0.624160932003525,-0.313554703200415,0.642206813384839,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"MD",-1.07586338312347,0.211912981505775,0.00227244771875047,-1.49121282687479,-0.660513939372147,0.547017221991568,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"ME",-1.51124173158591,0.247859448276941,0.000886413133786952,-1.99704625020871,-1.0254372129631,0.818896241367452,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"MI",-0.322571932646345,0.196468955067019,0.151729656253261,-0.707651084577702,0.0625072192850112,0.28558900909297,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"MN",-0.354309090379563,0.319359751758601,0.30971814499889,-0.980254203826421,0.271636023067295,0.0898681313064154,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"MO",-1.34178458355784,0.467354303062032,0.0283890949586195,-2.25779901755942,-0.425770149556259,0.360726680516515,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"MS",0.75739778911579,0.343477454624966,0.0696126608803415,0.0841819780508564,1.43061360018072,0.333433230263492,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"MT",0.208844309555392,0.569647702434851,0.726483937678124,-0.907665187216917,1.3253538063277,0.011793524880799,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"NC",-1.11749506163477,0.129506794636651,0.000133397090724617,-1.3713283791226,-0.863661744146934,0.86248946693991,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"ND",0.515088012005907,0.271860133349901,0.106955818040247,-0.0177578493598983,1.04793387337171,0.107980120465162,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"NE",-0.277445934400873,0.379331886073435,0.492095790844972,-1.02093643110481,0.466044562303059,0.0700675025086761,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"NH",-0.967538812953323,0.248647845194368,0.00806552657721958,-1.45488858953428,-0.480189036372362,0.522018169190125,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"NJ",-0.0640561121035176,0.307772915357633,0.842014227619329,-0.667291026204477,0.539178801997442,0.00463760381410458,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"NM",-1.15437054386366,0.558115039835777,0.0840805936578985,-2.24827602194178,-0.0604650657855372,0.539952169343428,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"NV",-0.77915660006481,0.234090201289397,0.0158372399144321,-1.23797339459203,-0.320339805537593,0.67020354993837,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"NY",-0.0285146125892641,0.118315472108711,0.817575664879179,-0.260412937922338,0.20338371274381,0.00544044020887913,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"OH",-0.890355749148528,0.329340525626885,0.0354131086076018,-1.53586317937722,-0.244848318919834,0.538228939326021,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"OK",-0.720275621556007,0.212999278435803,0.014828720627848,-1.13775420729018,-0.302797035821833,0.47474246251398,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"OR",0.00559577403297263,0.146588812489134,0.97078795527148,-0.28171829844573,0.292909846511676,0.000320876918007692,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"PA",-0.65554966851702,0.201216436928797,0.017293524785034,-1.04993388489746,-0.261165452136577,0.544403398787955,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"RI",0.203345836834558,0.410384228322354,0.637869006900809,-0.601007250677256,1.00769892434637,0.00802211649320767,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"SC",-1.09624378759163,0.146720315435169,0.000296669939591125,-1.38381560584457,-0.808671969338702,0.773675959858485,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"SD",-0.438811541776118,1.49650357932633,0.779227988909131,-3.37195855725573,2.4943354737035,0.0104450974535293,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"TN",-1.1362074364768,0.232275589567843,0.00273388004000709,-1.59146759202977,-0.680947280923827,0.764447759738138,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"TX",-0.445708623403693,0.164539279843971,0.035160801310298,-0.768205611897875,-0.12321163490951,0.328250800121824,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"UT",-1.64988108426597,0.249730381462942,0.000578550163911407,-2.13935263193333,-1.1604095365986,0.861213907488526,8,TRUE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"VA",-0.531846051112654,0.269352455053961,0.0957463529224607,-1.05977686301842,-0.00391523920688985,0.193875181342999,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"VT",0.550922305124735,0.27231579449386,0.0895151041717648,0.0171833479167705,1.0846612623327,0.231994797217672,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"WA",0.157524056656872,0.179714114191318,0.414455907071748,-0.194715607158112,0.509763720471855,0.139416406607292,8,FALSE,"success","Territorial","Relative Decoupling","Relative Decoupling"
"WI",-0.00505293834081062,0.44504500281768,0.991309298547656,-0.877341143863464,0.867235267181842,2.66525839995568e-05,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"WV",-0.542296036022233,0.429415876350255,0.253494300101317,-1.38395115366873,0.299359081624267,0.188431357044302,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"WY",-0.0726921576340611,0.619936672635338,0.910482727881231,-1.28776803599932,1.1423837207312,0.000314315044227599,8,FALSE,"success","Territorial","Absolute Decoupling","Absolute Decoupling"
"AK",5.31233242088822,0.820012266316311,0.0006425744570829,3.70510837890825,6.91955646286819,0.851491660121452,8,TRUE,"success","Consumption-based","No Decoupling","No Decoupling"
"AL",-0.970847431311848,0.21451821421493,0.00399328535209076,-1.39130313117311,-0.550391731450585,0.535915114919002,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"AR",-0.725019613107689,0.237664834651778,0.0224946843729544,-1.19084268902517,-0.259196537190204,0.318819561514668,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"AZ",-0.815791790100962,0.194034929120344,0.00565842291804442,-1.19610025117684,-0.435483329025087,0.620046382501069,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"CA",0.150352318787871,0.0315663758591914,0.00311659079275814,0.088482222103856,0.212222415471886,0.789934183824782,8,TRUE,"success","Consumption-based","Relative Decoupling","Relative Decoupling"
"CO",-0.0323193240194471,0.0589716714688894,0.60343487805441,-0.14790380009847,0.083265152059576,0.0335639871219066,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"CT",-0.349286212322594,0.309418533855039,0.302065450510555,-0.955746538678471,0.257174114033282,0.0544243128068917,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"DE",0.185191624638424,0.274903447930503,0.525613131402344,-0.353619133305363,0.72400238258221,0.0616601890366436,8,FALSE,"success","Consumption-based","Relative Decoupling","Relative Decoupling"
"FL",-0.424264590461778,0.268097614874278,0.164622613068556,-0.949735915615363,0.101206734691808,0.23693820302594,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"GA",-0.550859202665139,0.174588292153651,0.0196847035810063,-0.893052255286295,-0.208666150043983,0.529520661653791,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"HI",0.240292876305338,0.132532475777745,0.119761822135974,-0.0194707762190418,0.500056528829719,0.303286433198686,8,FALSE,"success","Consumption-based","Relative Decoupling","Relative Decoupling"
"IA",-1.2088127280615,0.297674203245907,0.00664405627124653,-1.79225416642348,-0.625371289699527,0.484607106705787,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"ID",-0.139635304200646,0.235005747040232,0.574097442553386,-0.600246568399501,0.320975959998209,0.0911966583162135,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"IL",-0.572183328953746,0.201453304111369,0.0295561775290304,-0.96703180501203,-0.177334852895463,0.445922377470747,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"IN",-0.320660865352926,0.272256154776079,0.283475148427032,-0.85428292871404,0.212961198008189,0.0846882478824441,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"KS",-0.886077089758711,0.202477270177615,0.00468754295758473,-1.28293253930684,-0.489221640210586,0.713344301092623,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"KY",-2.21044192532278,0.448499212448794,0.00263410397574504,-3.08950038172242,-1.33138346892314,0.694764839065391,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"LA",-0.610890673988009,0.571424733908348,0.326151313114002,-1.73088315244837,0.509101804472354,0.120106826462998,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MA",-0.248946874409178,0.0905511023848747,0.033325173844331,-0.426427035083533,-0.0714667137348242,0.480316937298215,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MD",-0.382144522975828,0.127746832932338,0.0242756191109019,-0.63252831552321,-0.131760730428445,0.35657675047246,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"ME",-0.34021669407369,0.248740375229407,0.22040175606293,-0.827747829523329,0.147314441375949,0.22127828538851,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MI",0.32080517210323,0.267167090417698,0.275091092547982,-0.202842325115457,0.844452669321918,0.232360333674306,8,FALSE,"success","Consumption-based","Relative Decoupling","Relative Decoupling"
"MN",-0.158550863159208,0.283414319152234,0.596116358243241,-0.714042928697587,0.396941202379171,0.0501052484277491,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MO",-1.10808914415446,0.264757451850351,0.00577935185665994,-1.62701374978115,-0.589164538527774,0.565845835579442,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MS",-0.522870111474863,0.360357005877745,0.196980797471029,-1.22916984299524,0.183429620045517,0.180391560150392,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"MT",0.0751382036103829,0.152803571711109,0.640379786347642,-0.22435679694339,0.374633204164156,0.00481385078472074,8,FALSE,"success","Consumption-based","Relative Decoupling","Relative Decoupling"
"NC",-0.810564355601591,0.184754977888048,0.00463178431678308,-1.17268411226217,-0.448444598941016,0.634324137084743,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"ND",1.84694562182734,0.110595376967503,2.94258064201514e-06,1.63017868297103,2.06371256068365,0.881284932855365,8,TRUE,"success","Consumption-based","No Decoupling","No Decoupling"
"NE",-1.33010482449967,0.608247696988937,0.071390783871993,-2.52227031059799,-0.137939338401355,0.387729574434098,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"NH",-0.190668836005452,0.169232302659524,0.302916042841491,-0.52236414921812,0.141026477207216,0.155708818395748,8,FALSE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
"NJ",-0.795477647980318,0.289974418543171,0.0335899014412751,-1.36382750832493,-0.227127787635704,0.495281490200531,8,TRUE,"success","Consumption-based","Absolute Decoupling","Absolute Decoupling"
